instant,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt
1,1,0,1,0,6,0,2,14.110847,18.18125,80.5833,10.749882,985
2,1,0,1,0,0,0,2,14.902598,17.68695,69.6087,16.652113,801
3,1,0,1,0,1,1,1,8.050924,9.47025,43.7273,16.636703,1349
4,1,0,1,0,2,1,1,8.2,10.6061,59.0435,10.739832,1562
5,1,0,1,0,3,1,1,9.305237,11.4635,43.6957,12.5223,1600
6,1,0,1,0,4,1,1,8.378268,11.66045,51.8261,6.0008684,1606
7,1,0,1,0,5,1,2,8.057402,10.44195,49.8696,11.304642,1510
8,1,0,1,0,6,0,2,6.765,8.1127,53.5833,17.875868,959
9,1,0,1,0,0,0,1,5.671653,5.80875,43.4167,24.25065,822
10,1,0,1,0,1,1,1,6.184153,7.5444,48.2917,14.958889,1321
11,1,0,1,0,2,1,2,6.932731,9.5732,68.6364,8.182844,1263
12,1,0,1,0,3,1,1,7.081807,8.02365,59.9545,20.410009,1162
13,1,0,1,0,4,1,1,6.765,7.54415,47.0417,20.167,1406
14,1,0,1,0,5,1,1,6.59567,9.42065,53.7826,8.478716,1421
15,1,0,1,0,6,0,2,9.566653,12.4056,49.875,10.583521,1248
16,1,0,1,0,0,0,1,9.498347,11.71085,48.375,12.625011,1204
17,1,0,1,1,1,0,2,7.209153,8.83855,53.75,12.999139,1000
18,1,0,1,0,2,1,2,8.883347,11.61665,86.1667,9.833925,683
19,1,0,1,0,3,1,2,11.979134,14.9211,74.1739,13.957239,1650
20,1,0,1,0,4,1,2,10.728347,12.7525,53.8333,13.125568,1927
21,1,0,1,0,5,1,1,7.2775,7.89165,45.7083,23.667214,1543
22,1,0,1,0,6,0,1,2.4243464,3.95348,40,11.52199,981
23,1,0,1,0,0,0,1,3.9573897,4.941955,43.6522,16.5222,986
24,1,0,1,0,1,1,1,3.9930433,5.8965,49.1739,10.60811,1416
25,1,0,1,0,2,1,2,9.162598,11.7263,61.6957,8.696332,1985
26,1,0,1,0,3,1,3,8.9175,10.18,86.25,19.68795,506
27,1,0,1,0,4,1,1,7.995,10.985,68.75,7.627079,431
28,1,0,1,0,5,1,2,8.342598,11.16585,79.3043,8.2611,1167
29,1,0,1,0,6,0,1,8.057402,10.6063,65.1739,9.739455,1098
30,1,0,1,0,0,0,1,8.877402,12.5161,72.2174,4.9568342,1096
31,1,0,1,0,1,1,2,7.414153,9.3125,60.375,12.541864,1501
32,1,0,2,0,2,1,2,7.879134,11.7265,82.9565,3.565271,1360
33,1,0,2,0,3,1,2,10.66,12.72085,77.5417,17.708636,1526
34,1,0,2,0,4,1,1,7.665237,8.8939,43.7826,18.609384,1550
35,1,0,2,0,5,1,2,8.663464,11.42935,58.5217,8.565213,1708
36,1,0,2,0,6,0,2,9.566653,12.1529,92.9167,10.792293,1005
37,1,0,2,0,0,0,1,11.719153,14.58355,56.8333,9.5006,1623
38,1,0,2,0,1,1,1,11.138347,15.1829,73.8333,3.0423561,1712
39,1,0,2,0,2,1,1,9.054153,9.9123,53.7917,24.25065,1530
40,1,0,2,0,3,1,2,5.526103,7.21415,49.4783,12.652213,1605
41,1,0,2,0,4,1,1,5.918268,7.4774,43.7391,14.869645,1538
42,1,0,2,0,5,1,1,7.752731,10.67545,50.6364,7.27285,1746
43,1,0,2,0,6,0,1,9.1225,11.6477,54.4167,13.625589,1472
44,1,0,2,0,0,0,1,12.977402,16.20565,45.7391,17.479161,1589
45,1,0,2,0,1,1,1,17.015,19.9175,37.5833,27.999836,1913
46,1,0,2,0,2,1,1,10.909567,12.7137,31.4348,19.522058,1815
47,1,0,2,0,3,1,1,13.048701,15.81,42.3478,16.869997,2115
48,1,0,2,0,4,1,1,17.869153,21.4329,50.5,15.416968,2475
49,1,0,2,0,5,1,1,21.388347,25.59915,51.6667,17.749975,2927
50,1,0,2,0,6,0,1,16.365847,19.5702,18.7917,34.000021,1635
51,1,0,2,0,0,0,1,11.693897,13.8665,40.7826,14.956745,1812
52,1,0,2,1,1,0,2,12.436653,14.20375,60.5,20.625682,1107
53,1,0,2,0,2,1,1,7.471102,9.30165,57.7778,13.110761,1450
54,1,0,2,0,3,1,1,9.091299,12.28585,42.3043,6.305571,1917
55,1,0,2,0,4,1,2,12.121732,14.45955,69.7391,16.783232,1807
56,1,0,2,0,5,1,2,14.938268,17.52305,71.2174,23.218113,1461
57,1,0,2,0,6,0,1,11.5825,14.1096,53.7917,12.500257,1969
58,1,0,2,0,0,0,1,14.082598,17.55545,68,8.391616,2402
59,1,0,2,0,1,1,2,16.698193,20.0059,87.6364,19.408962,1446
60,1,0,3,0,2,1,1,10.933347,13.19395,53.5,14.500475,1851
61,1,0,3,0,3,1,1,13.735,16.00355,44.9583,20.624811,2134
62,1,0,3,0,4,1,1,8.131653,10.00665,31.8333,15.125518,1685
63,1,0,3,0,5,1,2,10.728347,12.78395,61.0417,13.624182,1944
64,1,0,3,0,6,0,2,15.750847,18.93895,78.9167,16.875357,2077
65,1,0,3,0,0,0,2,15.437402,18.3126,94.8261,23.000229,605
66,1,0,3,0,1,1,1,10.731299,11.92305,55.1304,22.870584,1872
67,1,0,3,0,2,1,1,11.9925,15.12,42.0833,8.08355,2133
68,1,0,3,0,3,1,2,12.129153,14.3304,77.5417,14.75005,1891
69,1,0,3,0,4,1,3,15.952731,19.2834,0,17.545759,623
70,1,0,3,0,5,1,2,12.977402,15.25,64.9565,15.60899,1977
71,1,0,3,0,6,0,1,13.495847,16.2875,59.4583,14.791925,2132
72,1,0,3,0,0,0,1,15.758268,19.00455,52.7391,18.130468,2417
73,1,0,3,0,1,1,1,13.333897,16.6,49.6957,9.174042,2046
74,1,0,3,0,2,1,2,13.013031,15.9089,65.5652,12.348703,2056
75,1,0,3,0,3,1,2,14.973897,18.3465,77.6522,13.608839,2192
76,1,0,3,0,4,1,1,17.015,20.51665,60.2917,14.041793,2744
77,1,0,3,0,5,1,1,22.14,26.35045,52.5217,15.478139,3239
78,1,0,3,0,6,0,1,19.3725,23.32625,37.9167,24.667189,3117
79,1,0,3,0,0,0,1,13.6325,16.2875,47.375,13.917307,2471
80,2,0,3,0,1,1,2,17.647835,20.48675,73.7391,19.348461,2077
81,2,0,3,0,2,1,1,18.108347,22.0321,62.4583,15.12525,2703
82,2,0,3,0,3,1,2,14.225237,16.89695,83.9565,15.695487,2121
83,2,0,3,0,4,1,2,11.685,13.54165,80.5833,16.333729,1865
84,2,0,3,0,5,1,1,10.830847,12.8156,49.5,15.458575,2210
85,2,0,3,0,6,0,1,10.899153,12.87855,39.4167,14.041257,2496
86,2,0,3,0,0,0,2,10.374763,12.51695,49.3913,12.3481,1693
87,2,0,3,0,1,1,1,10.838268,12.8787,30.2174,14.217668,2028
88,2,0,3,0,2,1,1,12.4025,14.6454,31.4167,15.208732,2425
89,2,0,3,0,3,1,2,12.3,14.8675,64.6667,11.583496,1536
